job_title,job_category,salary_in_usd,experience_level,employment_type,work_setting,neighbourhood_group,neighbourhood,rent,latitude,longitude,amenity,amenity_value
Business Intelligence Analyst,BI and Visualization,100000.0,Senior,Full-time,Remote,Manhattan,Kips Bay,2990.0,40.73864,-73.98187,has_gym,0.0
Data Engineer,Data Engineering,100000.0,Mid-level,Full-time,Remote,Manhattan,Harlem,3500.0,40.81427383422852,-73.95240783691406,has_doorman,0.0
Data Engineer,Data Engineering,118575.0,Senior,Full-time,Remote,Manhattan,Lower East Side,3700.0,40.71974,-73.98924,has_doorman,1.0
Applied Scientist,Data Science and Research,184000.0,Senior,Full-time,Remote,Brooklyn,Crown Heights,3700.0,40.67697,-73.96323,has_doorman,0.0
Analytics Engineer,Leadership and Management,200000.0,Senior,Full-time,Remote,Manhattan,Washington Heights,4700.0,40.83456,-73.94344,has_gym,0.0
Machine Learning Engineer,Machine Learning and AI,226600.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,4400.0,40.7199,-73.95519,has_elevator,1.0
Research Engineer,Data Science and Research,67672.0,Mid-level,Full-time,Remote,Manhattan,West Village,3895.0,40.73317,-74.00356,has_dishwasher,0.0
Data Scientist,Data Science and Research,185900.0,Senior,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,5325.0,40.68216,-73.94594,has_washer_dryer,0.0
Research Engineer,Data Science and Research,257400.0,Mid-level,Full-time,In-person,Manhattan,Harlem,5195.0,40.81469,-73.94324,bathrooms,1.0
Machine Learning Engineer,Machine Learning and AI,140000.0,Senior,Full-time,In-person,Brooklyn,Bushwick,12195.0,40.69348,-73.91892,has_dishwasher,0.0
Research Scientist,Data Science and Research,120000.0,Senior,Full-time,Remote,Brooklyn,East Flatbush,18000.0,40.65449,-73.94244,no_fee,0.0
Data Scientist,Data Science and Research,139000.0,Senior,Full-time,In-person,Manhattan,Lower East Side,1500.0,40.72043,-73.98155,size_sqft,400.0
Data Analyst,Data Analysis,73000.0,Senior,Full-time,In-person,Brooklyn,Crown Heights,3800.0,40.66971,-73.94479,has_dishwasher,0.0
Research Scientist,Data Science and Research,283050.0,Senior,Full-time,In-person,Brooklyn,Carroll Gardens,2595.0,40.67813,-74.00062,has_dishwasher,0.0
Data Scientist,Data Science and Research,90000.0,Mid-level,Full-time,In-person,Manhattan,East Harlem,6800.0,40.80231,-73.93883,bathrooms,2.0
Business Intelligence Engineer,BI and Visualization,202800.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,3250.0,40.70586,-73.94931,has_doorman,1.0
Data Scientist,Data Science and Research,189750.0,Senior,Full-time,Remote,Manhattan,Chelsea,3400.0,40.7416,-73.99752,size_sqft,831.0
Data Engineer,Data Engineering,159000.0,Senior,Full-time,In-person,Manhattan,Harlem,2750.0,40.82553,-73.94511,bedrooms,2.0
BI Developer,BI and Visualization,167500.0,Senior,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,2499.0,40.68462,-73.93839,has_roofdeck,1.0
Data Scientist,Data Science and Research,230000.0,Senior,Full-time,Remote,Brooklyn,Bedford-Stuyvesant,5250.0,40.68774,-73.93654,floor,35.0
Data Analyst,Data Analysis,138900.0,Senior,Full-time,In-person,Manhattan,West Village,9855.0,40.73183,-74.00649,floor,4.0
Machine Learning Engineer,Machine Learning and AI,126500.0,Senior,Full-time,In-person,Manhattan,Lower East Side,3800.0,40.7191,-73.9834,size_sqft,655.0
Data Engineer,Data Engineering,200000.0,Senior,Full-time,Remote,Manhattan,West Village,2975.0,40.73682,-74.0007,has_roofdeck,0.0
Business Intelligence Analyst,BI and Visualization,90400.0,Senior,Full-time,In-person,Manhattan,Harlem,2895.0,40.80794,-73.95485,has_patio,0.0
Data Engineer,Data Engineering,124935.0,Senior,Full-time,In-person,Brooklyn,Park Slope,3905.0,40.6755,-73.98137,size_sqft,809.0
